Fabric_Type,Region,Cost_per_Unit(INR),Transport_Time(days),Distance_to_Base(km),Demand_Units,Available_Stock,Supplier_Rating(1-5),Risk_Factor(1-10),Supply_Priority
Cotton,Coastal,271.77,6.55,343.3,9907,5263,5.0,3.2,MEDIUM
Polyester,High Altitude,158.03,28.03,1516.5,12548,13172,2.1,7.9,MEDIUM
Polyester,Cold Desert,204.16,14.73,1033.4,6681,10086,3.8,8.7,MEDIUM
Bamboo Fibre,Jungle,393.89,23.38,1501.1,19808,22217,4.7,3.2,MEDIUM
Wool,Jungle,1067.53,31.29,1526.0,13283,5374,2.7,5.2,HIGH
Kevlar,Jungle,1754.77,36.51,1355.8,16590,11522,1.7,9.8,HIGH
Wool,General Use,1015.93,4.41,145.1,8185,5282,4.3,7.0,MEDIUM
Bamboo Fibre,Cold Desert,543.08,16.25,567.0,12968,17149,3.9,8.6,MEDIUM
Wool,General Use,438.11,6.33,405.2,3419,5018,3.3,3.9,LOW
Nylon,Cold Desert,897.69,23.72,1391.1,8972,5863,5.0,8.5,HIGH
Nylon,Cold Desert,731.95,15.06,653.7,14469,6673,1.7,7.7,MEDIUM
Bamboo Fibre,General Use,315.66,3.3,166.4,6807,3689,2.2,1.0,MEDIUM
Bamboo Fibre,Jungle,316.33,30.87,2091.1,12693,7547,1.2,3.0,HIGH
Bamboo Fibre,High Altitude,432.85,43.07,2782.0,13737,5789,4.3,7.2,HIGH
Bamboo Fibre,Jungle,673.71,25.04,1540.4,6201,4217,3.9,1.5,HIGH
Nylon,Cold Desert,756.68,21.13,662.7,11694,9164,2.5,3.2,HIGH
Kevlar,General Use,3408.98,9.57,509.2,6331,4817,1.8,3.9,MEDIUM
Cotton,General Use,240.35,6.35,313.4,6610,8205,1.4,6.1,LOW
Nylon,General Use,460.81,6.77,402.4,8126,6118,4.9,4.5,MEDIUM
Polyester,Hot Desert,429.08,10.31,647.3,5194,3729,1.8,6.9,MEDIUM
Cotton,High Altitude,564.0,25.87,1400.4,15097,10970,3.7,8.4,HIGH
Nylon,General Use,847.23,9.28,518.2,4890,3129,3.2,9.7,MEDIUM
Nylon,Jungle,575.12,29.35,1118.8,18851,12905,1.5,2.0,HIGH
Cotton,General Use,492.49,4.96,269.8,6516,8434,1.3,2.8,LOW
Nylon,General Use,843.43,6.38,314.5,6386,8892,3.2,7.7,LOW
Bamboo Fibre,High Altitude,446.66,37.52,2840.8,14833,15779,3.4,3.3,MEDIUM
Wool,Jungle,703.73,17.02,963.2,17627,20444,1.2,8.8,MEDIUM
Polyester,Jungle,224.83,31.77,2304.7,15149,15730,2.7,3.5,MEDIUM
Nylon,Hot Desert,591.11,11.49,735.8,11253,7437,3.8,6.9,MEDIUM
Cotton,High Altitude,211.33,41.04,1714.5,10839,9631,2.0,4.6,MEDIUM
Wool,Coastal,565.23,9.28,392.2,10134,15326,3.2,8.0,LOW
Wool,General Use,761.94,7.52,349.2,7959,12218,3.3,3.1,LOW
Polyester,Jungle,413.12,15.68,979.5,10708,11777,2.4,7.3,MEDIUM
Polyester,Jungle,252.46,38.75,2904.3,10141,12180,3.3,2.9,MEDIUM
Bamboo Fibre,Cold Desert,459.18,25.83,1125.5,14077,13043,4.3,9.4,MEDIUM
Cotton,Hot Desert,564.69,24.61,1749.2,12514,11570,1.3,3.8,MEDIUM
Kevlar,Cold Desert,2009.87,26.09,1296.6,11414,7376,2.5,1.1,HIGH
Nylon,Hot Desert,512.42,16.54,769.9,6240,8048,1.7,4.2,MEDIUM
Nylon,High Altitude,598.45,44.67,2428.8,12072,12856,3.0,8.3,MEDIUM
Bamboo Fibre,High Altitude,559.9,23.4,883.8,12931,8061,2.0,6.3,HIGH
Bamboo Fibre,High Altitude,499.2,44.38,2173.2,11986,11061,2.8,6.5,MEDIUM
Cotton,Cold Desert,520.36,16.56,793.5,9956,4418,2.6,9.0,MEDIUM
Wool,Hot Desert,830.11,13.82,619.3,10450,15799,4.3,9.5,MEDIUM
Bamboo Fibre,Hot Desert,599.46,16.91,757.8,8347,7116,1.9,6.0,MEDIUM
Kevlar,Coastal,3472.68,12.24,694.0,11332,14523,2.9,1.6,MEDIUM
Wool,Cold Desert,1064.6,15.68,1148.6,10931,10840,3.2,8.8,MEDIUM
Bamboo Fibre,Hot Desert,440.36,13.73,432.2,6518,2957,1.4,5.6,MEDIUM
Wool,Jungle,634.68,26.89,1004.7,16182,8241,3.8,3.1,HIGH
Cotton,Cold Desert,240.34,19.38,901.3,10286,14811,4.6,1.8,MEDIUM
Polyester,Cold Desert,212.59,26.43,1783.2,9929,13639,3.9,8.6,MEDIUM
Polyester,Hot Desert,305.85,22.84,1463.5,10649,16476,3.6,3.5,MEDIUM
Bamboo Fibre,Cold Desert,687.2,27.64,1396.4,12519,11635,3.3,1.4,MEDIUM
Nylon,High Altitude,537.35,32.0,1721.4,9068,9922,4.1,7.4,MEDIUM
Wool,General Use,1046.22,6.51,480.5,5424,8419,3.1,2.1,LOW
Polyester,General Use,275.84,7.9,447.2,5166,5108,2.3,4.1,MEDIUM
Nylon,Cold Desert,514.44,17.56,1058.2,11045,6737,2.6,1.8,MEDIUM
Bamboo Fibre,Coastal,393.72,6.9,255.9,13019,20797,2.1,5.0,LOW
Nylon,Hot Desert,773.74,17.74,1075.7,6584,6054,2.8,1.1,MEDIUM
Kevlar,High Altitude,2075.55,35.62,2232.8,8867,5332,3.7,1.9,HIGH
Kevlar,Coastal,1638.2,8.12,638.9,12272,17544,1.6,2.6,LOW
Wool,High Altitude,494.33,28.73,1254.4,11511,18391,4.7,2.1,MEDIUM
Polyester,Cold Desert,265.46,29.94,1196.3,9900,13191,2.7,4.9,MEDIUM
Polyester,High Altitude,319.43,25.4,883.7,9557,10408,3.6,4.1,MEDIUM
Nylon,Coastal,772.18,6.52,364.8,12791,17762,2.7,5.0,LOW
Wool,Hot Desert,920.47,23.21,1440.3,6698,8564,1.2,5.6,MEDIUM
Polyester,Hot Desert,243.44,19.35,1500.1,11628,16398,2.1,4.6,MEDIUM
Nylon,Hot Desert,348.51,23.7,1604.7,12536,8083,4.0,7.6,HIGH
Nylon,Hot Desert,445.97,19.87,754.5,12096,12857,1.9,2.5,MEDIUM
Wool,Cold Desert,995.99,17.23,889.6,10564,14280,4.8,1.2,MEDIUM
Polyester,Cold Desert,418.89,16.78,864.7,12205,12192,2.4,9.3,MEDIUM
Nylon,Jungle,304.72,32.71,1785.8,15487,14877,2.3,4.8,MEDIUM
Nylon,Cold Desert,322.0,13.98,821.4,7801,11399,1.6,7.2,MEDIUM
Bamboo Fibre,Cold Desert,574.99,15.02,515.9,10525,6788,2.3,9.5,MEDIUM
Polyester,Jungle,327.85,21.93,852.2,7392,7417,3.1,4.2,MEDIUM
Bamboo Fibre,Hot Desert,512.06,13.28,1018.3,9593,10055,3.2,8.5,MEDIUM
Kevlar,High Altitude,3250.89,42.45,2845.1,17705,20395,2.8,10.0,MEDIUM
Polyester,Jungle,249.28,19.86,1550.9,14321,8130,1.3,3.2,HIGH
Kevlar,Jungle,1381.65,39.14,2056.8,12618,6601,4.7,4.4,HIGH
Nylon,General Use,411.04,5.93,275.1,8910,12563,3.4,8.5,LOW
Cotton,Hot Desert,552.43,12.13,395.2,4870,2480,2.2,2.5,MEDIUM
Kevlar,Coastal,2107.02,10.59,776.2,11150,4992,1.5,3.5,MEDIUM
Cotton,Cold Desert,451.97,29.62,1154.5,6859,9417,3.2,8.5,MEDIUM
Wool,Coastal,1021.45,8.7,553.6,13042,19491,1.6,5.9,LOW
Bamboo Fibre,General Use,512.7,7.86,386.1,3151,3847,2.9,3.8,LOW
Nylon,Cold Desert,737.72,27.1,954.7,10873,8001,1.2,6.0,HIGH
Bamboo Fibre,General Use,605.63,5.76,353.8,8782,13726,2.6,4.1,LOW
Cotton,General Use,205.07,6.84,231.9,4862,5648,1.7,8.7,LOW
Wool,Coastal,581.12,5.13,267.9,5530,5564,4.8,2.4,LOW
Wool,Coastal,540.65,10.68,330.6,8746,10680,3.2,2.4,MEDIUM
Kevlar,Jungle,3207.88,20.98,1528.8,15769,11944,3.3,1.6,HIGH
Cotton,Hot Desert,559.78,10.24,324.8,10050,14447,4.9,2.0,MEDIUM
Wool,High Altitude,1162.72,41.67,1938.2,17952,24566,4.0,8.1,MEDIUM
Wool,Coastal,1112.57,11.22,790.6,13726,19948,3.3,6.5,MEDIUM
Cotton,Jungle,491.47,17.87,632.3,6672,7226,3.1,4.5,MEDIUM
Cotton,General Use,379.17,4.39,243.8,8434,8951,4.5,6.1,LOW
Wool,High Altitude,455.74,25.03,1566.7,7620,4374,2.0,1.3,HIGH
Cotton,High Altitude,587.92,34.96,1837.6,8108,8119,2.6,8.8,MEDIUM
Nylon,Cold Desert,864.94,25.95,1357.9,10670,13270,4.1,8.9,MEDIUM
Nylon,High Altitude,451.65,43.59,2492.6,14907,6597,4.0,2.7,HIGH
Polyester,Coastal,334.73,7.57,237.1,10942,5950,2.5,8.5,MEDIUM
Cotton,Jungle,320.38,19.87,1339.2,18799,20364,2.1,4.1,MEDIUM
Polyester,Hot Desert,236.18,23.5,1295.6,8129,11994,4.7,4.6,MEDIUM
Wool,Cold Desert,1055.49,22.62,1770.5,9971,11285,4.7,3.0,MEDIUM
Cotton,Cold Desert,532.46,13.94,1049.9,12385,19261,3.5,3.9,MEDIUM
Kevlar,Coastal,2737.61,11.84,739.4,6204,8650,3.1,4.6,MEDIUM
Polyester,Jungle,416.26,15.12,1027.8,19450,17472,3.4,9.4,MEDIUM
Wool,Coastal,937.09,11.36,700.4,11236,16082,2.3,6.4,MEDIUM
Wool,Coastal,936.53,12.55,818.9,10282,5782,1.5,2.8,MEDIUM
Wool,High Altitude,431.75,34.21,1693.2,12283,13038,3.9,8.2,MEDIUM
Kevlar,High Altitude,2110.89,42.26,3379.0,10841,4922,2.1,6.4,HIGH
Wool,Jungle,903.61,31.58,1039.9,11514,13447,4.2,3.5,MEDIUM
Cotton,Jungle,495.2,32.77,1016.2,19755,21932,1.6,8.9,MEDIUM
Wool,Hot Desert,1056.03,17.36,927.5,10887,15801,3.3,8.0,MEDIUM
Polyester,High Altitude,271.71,31.23,2347.6,10552,10399,1.3,4.8,MEDIUM
Kevlar,Jungle,1980.15,34.8,1402.9,19278,16172,4.0,7.7,MEDIUM
Polyester,Hot Desert,346.86,12.03,707.9,9860,13992,4.4,7.9,MEDIUM
Nylon,General Use,427.85,9.84,348.0,3409,4636,2.6,3.1,LOW
Cotton,Jungle,575.77,23.0,1653.9,6216,7918,3.1,7.4,MEDIUM
Bamboo Fibre,Coastal,534.02,11.81,779.5,7239,10261,2.9,9.3,MEDIUM
Nylon,General Use,390.72,8.95,320.2,6461,3268,2.5,5.8,MEDIUM
Bamboo Fibre,Jungle,561.06,34.56,1795.7,14665,11666,1.3,8.1,HIGH
Cotton,Coastal,571.33,10.77,544.9,8188,5441,3.1,3.8,MEDIUM
Cotton,General Use,522.29,3.54,204.9,3647,3522,2.9,2.7,MEDIUM
Kevlar,Coastal,1342.32,13.76,530.8,12235,11751,1.0,6.2,MEDIUM
Wool,Jungle,459.52,17.66,1186.3,7783,7636,3.8,5.8,MEDIUM
Nylon,High Altitude,747.89,37.09,1211.1,16506,12728,3.2,8.7,HIGH
Bamboo Fibre,High Altitude,386.71,20.75,959.6,11547,11849,1.9,7.1,MEDIUM
Polyester,Jungle,358.91,30.8,975.0,10187,11254,2.8,9.6,MEDIUM
Wool,General Use,824.17,3.34,179.0,5010,4265,2.8,8.5,MEDIUM
Kevlar,Jungle,1809.38,39.85,1757.2,19806,16512,3.3,7.2,MEDIUM
Kevlar,High Altitude,3318.97,24.54,1258.4,16609,9657,2.8,2.4,HIGH
Kevlar,Cold Desert,2910.78,25.02,1988.9,7527,9957,3.7,6.5,MEDIUM
Wool,General Use,1122.66,8.87,405.0,7456,11317,3.3,8.4,LOW
Bamboo Fibre,High Altitude,443.72,27.15,1515.0,14961,15970,2.1,7.0,MEDIUM
Cotton,Jungle,349.76,30.79,1146.3,16152,15719,2.3,7.3,MEDIUM
Polyester,General Use,346.56,9.88,478.5,5022,4190,2.7,9.8,MEDIUM
Nylon,Hot Desert,708.22,18.79,1219.7,9657,12840,4.8,9.1,MEDIUM
Bamboo Fibre,Cold Desert,668.2,19.01,705.2,12155,17469,4.5,9.1,MEDIUM
Nylon,Cold Desert,562.69,14.21,876.4,11858,16863,1.3,1.9,MEDIUM
Cotton,Jungle,330.55,39.51,2034.2,9310,12336,3.7,5.1,MEDIUM
Kevlar,Cold Desert,1311.33,17.09,1099.3,14681,22038,1.9,7.1,MEDIUM
Nylon,High Altitude,707.55,34.62,2048.0,17874,16589,1.4,7.2,MEDIUM
Bamboo Fibre,Cold Desert,407.21,29.43,1815.7,9545,12498,1.5,1.2,MEDIUM
Kevlar,Cold Desert,2096.88,21.4,1216.4,6901,5374,2.0,4.7,HIGH
Cotton,Hot Desert,413.48,24.68,1037.8,12753,11533,4.4,2.5,MEDIUM
Bamboo Fibre,Hot Desert,397.58,17.26,1101.1,7835,9492,4.2,3.5,MEDIUM
Nylon,Cold Desert,475.15,15.41,748.2,10067,7134,1.2,5.7,MEDIUM
Cotton,Cold Desert,378.54,13.8,638.5,13656,20885,3.5,1.9,MEDIUM
Polyester,Cold Desert,298.49,27.96,1785.8,11183,8335,3.3,9.5,HIGH
Cotton,Coastal,241.6,7.54,258.5,13909,11041,4.6,9.1,MEDIUM
Polyester,High Altitude,398.98,44.39,3229.9,16393,10430,1.4,5.7,HIGH
Wool,General Use,841.29,9.12,340.1,9792,10018,3.9,3.4,LOW
Polyester,Jungle,226.31,31.71,1928.4,19863,26045,3.7,7.2,MEDIUM
Cotton,High Altitude,403.71,31.4,1967.4,16698,26149,4.0,8.3,MEDIUM
Nylon,Coastal,404.91,8.29,379.9,6670,5184,1.4,8.9,MEDIUM
Kevlar,Hot Desert,1220.93,24.54,1047.0,5577,8432,1.1,3.5,MEDIUM
Wool,Coastal,906.25,5.53,228.3,5555,4730,1.7,5.0,MEDIUM
Polyester,Hot Desert,402.8,23.07,1419.0,10694,12810,4.6,2.8,MEDIUM
Nylon,Jungle,336.39,36.5,1261.8,9938,4797,2.7,1.6,HIGH
Nylon,Cold Desert,587.6,16.81,572.1,11549,4671,4.1,7.1,MEDIUM
Cotton,General Use,392.65,9.17,731.1,3650,4939,2.0,6.5,LOW
Wool,High Altitude,1185.88,43.29,3076.5,8157,4138,1.4,7.1,HIGH
Cotton,General Use,488.55,6.75,230.9,6025,3355,1.1,1.3,MEDIUM
Kevlar,Coastal,2785.87,11.01,504.4,13858,22068,2.9,8.7,MEDIUM
Wool,Coastal,925.08,10.74,342.9,7857,8447,1.6,9.5,MEDIUM
Polyester,High Altitude,303.59,41.6,1321.4,10369,13460,4.3,9.2,MEDIUM
Kevlar,Jungle,1360.62,31.39,1483.1,6751,9196,4.9,7.1,MEDIUM
Cotton,Cold Desert,542.67,29.61,2107.5,9221,5490,1.3,6.8,HIGH
Cotton,Coastal,201.14,12.78,871.0,7511,8083,4.4,5.7,MEDIUM
Wool,Hot Desert,615.26,17.84,812.9,5242,2424,3.5,5.4,MEDIUM
Wool,Coastal,627.68,9.02,704.5,10739,16192,4.7,1.8,LOW
Kevlar,Jungle,1605.64,29.74,987.7,13176,19727,1.7,4.5,MEDIUM
Polyester,High Altitude,298.35,29.86,1649.4,17710,21960,2.6,3.9,MEDIUM
Nylon,Cold Desert,333.47,28.46,2174.1,8272,9708,1.6,2.9,MEDIUM
Wool,Cold Desert,936.44,14.72,1020.9,12613,16312,2.2,9.2,MEDIUM
Nylon,Hot Desert,625.97,12.47,580.5,10051,11913,1.4,4.0,MEDIUM
Bamboo Fibre,Coastal,338.54,9.27,629.6,11223,7347,4.3,1.8,MEDIUM
Kevlar,Cold Desert,2461.09,27.28,1731.2,13008,18392,4.7,9.5,MEDIUM
Kevlar,General Use,3392.18,8.57,482.4,6150,9249,2.7,9.8,LOW
Cotton,Cold Desert,284.46,21.46,1126.1,9214,5255,2.4,8.5,HIGH
Cotton,Coastal,501.85,12.56,386.0,6143,7179,2.4,5.8,MEDIUM
Polyester,Coastal,445.84,12.21,776.9,9414,4227,3.6,4.2,MEDIUM
Bamboo Fibre,Cold Desert,377.89,16.93,926.2,10065,11465,3.0,3.5,MEDIUM
Nylon,High Altitude,507.14,20.51,1128.9,10439,9377,4.6,1.8,MEDIUM
Wool,General Use,1164.12,5.77,442.7,7496,10699,4.7,1.2,LOW
Polyester,General Use,326.93,9.07,571.4,5568,6879,2.5,4.3,LOW
Bamboo Fibre,Hot Desert,548.72,11.95,646.0,10966,13271,3.3,4.8,MEDIUM
Polyester,Hot Desert,432.62,24.6,1741.5,6508,4948,3.1,4.7,HIGH
Nylon,Cold Desert,815.24,12.0,827.6,7125,6664,4.1,8.1,MEDIUM
Bamboo Fibre,Jungle,305.03,18.27,612.3,11453,18270,2.9,9.4,MEDIUM
Cotton,Hot Desert,378.75,23.82,763.7,10191,5838,2.4,7.7,HIGH
Polyester,Cold Desert,430.04,19.16,1482.5,13492,12120,2.0,6.3,MEDIUM
Bamboo Fibre,Jungle,506.8,17.49,680.2,7902,12015,4.1,6.9,MEDIUM
Kevlar,Jungle,2991.55,29.77,1828.5,11266,15133,3.6,1.9,MEDIUM
Kevlar,Cold Desert,2445.38,16.46,1034.8,5057,7696,1.0,3.8,MEDIUM
Wool,General Use,822.41,4.82,266.3,6841,4550,2.1,4.7,MEDIUM
Kevlar,Hot Desert,2320.71,15.96,489.4,8782,13141,2.3,8.6,MEDIUM
Kevlar,Hot Desert,2506.65,20.26,1118.9,11840,18381,3.8,2.7,MEDIUM
Wool,Jungle,753.64,27.92,1317.0,11442,15224,1.2,7.7,MEDIUM
Polyester,Jungle,273.37,33.53,2626.2,13769,12514,4.8,6.3,MEDIUM
Cotton,General Use,405.81,9.01,367.9,8985,5639,3.2,8.7,MEDIUM
Polyester,Hot Desert,384.76,14.62,540.6,7909,8195,3.9,9.5,MEDIUM
Wool,General Use,519.32,7.49,484.3,6872,9255,2.0,4.0,LOW
Kevlar,Jungle,1720.26,24.88,1736.8,11851,16026,4.4,9.5,MEDIUM
Cotton,High Altitude,562.21,38.23,1461.4,9205,7688,4.4,6.4,MEDIUM
Kevlar,Hot Desert,1422.5,14.43,585.2,12886,10089,4.5,7.5,MEDIUM
Bamboo Fibre,Cold Desert,617.64,18.15,969.0,6855,10549,4.8,3.9,MEDIUM
Polyester,General Use,444.21,4.19,230.1,8619,11231,3.5,8.0,LOW
Kevlar,Coastal,1346.56,11.92,833.0,6856,5046,1.8,5.5,MEDIUM
Kevlar,General Use,2166.24,5.9,281.4,5509,4395,3.2,2.9,MEDIUM
Bamboo Fibre,Cold Desert,681.87,15.22,674.7,11706,10163,1.2,2.6,MEDIUM
Wool,High Altitude,1099.7,42.56,3104.3,11391,7842,1.3,2.5,HIGH
Cotton,High Altitude,380.23,44.41,1393.5,11037,7435,5.0,4.1,HIGH
Wool,Hot Desert,1090.31,18.71,1452.3,8825,9927,4.2,1.5,MEDIUM
Polyester,Jungle,217.79,35.06,2412.8,7400,3114,3.7,3.0,HIGH
Cotton,Cold Desert,505.51,29.92,1841.2,9142,13706,4.0,1.1,MEDIUM
Bamboo Fibre,General Use,291.31,7.5,542.8,8665,3846,2.3,7.7,MEDIUM
Wool,Hot Desert,913.53,11.51,797.9,4865,2956,4.4,8.0,MEDIUM
Wool,High Altitude,415.56,23.99,1291.3,16022,20062,2.3,9.3,MEDIUM
Bamboo Fibre,Cold Desert,530.04,22.48,876.8,5594,6481,3.7,4.8,MEDIUM
Polyester,High Altitude,387.81,24.8,1980.7,11816,9260,1.6,7.4,HIGH
Wool,Coastal,628.47,14.26,648.3,13594,20998,4.7,4.2,MEDIUM
Polyester,Hot Desert,175.33,17.59,1224.2,8074,3890,3.3,5.2,MEDIUM
Cotton,Cold Desert,258.11,17.72,1063.1,5932,5615,2.3,8.7,MEDIUM
Nylon,General Use,620.48,4.82,266.3,4206,5986,4.9,4.1,LOW
Nylon,General Use,609.06,8.11,260.3,8372,9439,1.2,8.0,LOW
Polyester,General Use,350.05,5.06,296.9,7692,10354,4.9,3.1,LOW
Nylon,High Altitude,549.53,25.6,1006.3,6966,6986,3.2,1.9,MEDIUM
Wool,High Altitude,1146.8,43.61,2857.2,14479,6657,4.8,4.3,HIGH
Cotton,High Altitude,221.44,34.21,2580.0,11490,8295,1.4,6.4,HIGH
Kevlar,Cold Desert,2331.21,18.48,833.4,6784,4340,2.6,3.1,HIGH
Wool,Coastal,826.83,9.43,742.4,7407,6876,3.1,8.4,MEDIUM
Polyester,High Altitude,407.51,23.16,1347.1,5966,3377,4.6,7.5,HIGH
Polyester,High Altitude,274.58,21.35,888.1,16569,19935,4.5,6.4,MEDIUM
Kevlar,Cold Desert,2624.43,13.93,1065.3,6777,7410,3.8,9.0,MEDIUM
Bamboo Fibre,General Use,459.62,4.02,146.8,9533,12896,3.8,1.1,LOW
Nylon,Coastal,806.47,12.94,455.1,10369,15323,4.8,3.4,MEDIUM
Bamboo Fibre,General Use,420.68,8.05,256.7,5923,4270,3.0,9.0,MEDIUM
Bamboo Fibre,Hot Desert,401.52,23.94,1102.8,11033,4952,2.7,2.5,HIGH
Kevlar,Hot Desert,2813.02,24.1,1034.1,8626,6193,2.1,7.7,HIGH
Nylon,Coastal,665.57,12.34,783.2,5313,3661,2.7,3.7,MEDIUM
Wool,Cold Desert,893.37,25.82,1778.3,6264,8064,1.5,1.9,MEDIUM
Polyester,Jungle,318.63,29.52,1165.9,13717,21900,3.6,1.8,MEDIUM
Wool,Jungle,609.6,28.18,1339.3,16234,12969,3.7,2.3,HIGH
Polyester,High Altitude,437.11,40.94,2800.3,17398,7414,4.0,6.6,HIGH
Polyester,Jungle,343.12,18.16,686.9,11652,4979,4.0,3.9,HIGH
Polyester,Hot Desert,388.78,22.37,1359.9,9323,10218,4.6,2.7,MEDIUM
Wool,Jungle,639.03,27.71,1907.9,7953,4649,4.4,8.2,HIGH
Bamboo Fibre,Hot Desert,574.19,13.52,559.4,5768,8626,2.2,8.4,MEDIUM
Nylon,Coastal,541.65,5.74,301.3,5319,8098,2.9,8.8,LOW
Polyester,Cold Desert,349.67,19.66,645.5,7051,4796,4.6,2.1,HIGH
Bamboo Fibre,Coastal,549.33,12.25,627.0,4814,5462,4.3,2.7,MEDIUM
Kevlar,Jungle,3068.24,38.26,2442.4,18757,21846,2.7,2.9,MEDIUM
Polyester,Jungle,187.16,16.54,1085.2,13754,19712,4.8,2.5,MEDIUM
Cotton,High Altitude,307.66,26.16,1554.9,13489,19486,1.5,7.6,MEDIUM
Wool,Jungle,873.94,30.57,1837.1,19755,10797,1.4,1.4,HIGH
Wool,Hot Desert,603.46,11.06,380.8,5169,3324,2.0,9.7,MEDIUM
Cotton,Cold Desert,534.41,21.39,1421.0,7255,9493,4.6,4.1,MEDIUM
Polyester,General Use,302.8,3.3,227.9,4386,3872,2.1,7.6,MEDIUM
Polyester,Cold Desert,212.33,23.94,805.6,5607,8743,4.8,1.7,MEDIUM
Polyester,High Altitude,301.88,24.89,974.2,13523,20417,2.3,8.8,MEDIUM
Cotton,Jungle,252.03,34.02,1441.2,18367,20611,3.3,7.2,MEDIUM
Wool,Cold Desert,490.13,27.77,1913.2,14451,14027,2.4,6.3,MEDIUM
Kevlar,Hot Desert,2871.69,10.02,385.6,6402,9073,3.7,2.7,MEDIUM
Polyester,Cold Desert,316.0,24.05,891.5,11325,15123,3.0,1.5,MEDIUM
Bamboo Fibre,General Use,288.77,7.56,408.1,7191,3524,1.2,4.7,MEDIUM
Wool,Hot Desert,1092.01,19.14,824.4,6575,6074,4.0,2.4,MEDIUM
Cotton,Hot Desert,505.93,11.61,563.7,7699,4401,2.2,5.1,MEDIUM
Nylon,Hot Desert,732.26,18.03,1125.9,9727,13285,3.1,2.4,MEDIUM
Bamboo Fibre,High Altitude,497.81,28.85,1382.5,13269,16739,3.3,1.2,MEDIUM
Polyester,Coastal,338.57,12.26,456.5,7328,10175,4.0,5.4,MEDIUM
Polyester,General Use,369.72,6.16,256.3,6691,2714,2.7,8.8,MEDIUM
Nylon,High Altitude,434.12,41.8,3311.2,17792,16374,4.9,2.5,MEDIUM
Kevlar,Jungle,3055.37,33.49,2242.0,15075,23044,3.2,2.8,MEDIUM
Wool,Hot Desert,1053.16,16.72,914.7,5896,5424,3.4,3.8,MEDIUM
Nylon,Cold Desert,833.77,14.52,943.7,6747,6509,1.3,9.9,MEDIUM
Wool,Coastal,506.99,9.08,295.9,9786,6482,1.4,4.5,MEDIUM
Cotton,High Altitude,505.03,28.96,1674.6,14396,9205,1.0,5.3,HIGH
Cotton,Jungle,331.5,38.82,1249.8,17956,12972,2.4,1.8,HIGH
Polyester,General Use,273.91,9.62,406.6,8611,10913,1.9,9.9,LOW
Wool,Coastal,445.05,6.69,256.1,11527,16279,1.8,5.3,LOW
Wool,Coastal,755.24,6.6,220.9,11562,14625,4.6,8.4,LOW
Kevlar,Coastal,1566.29,13.84,738.5,13261,19590,2.6,8.9,MEDIUM
Bamboo Fibre,Coastal,663.85,9.38,628.5,11047,11922,2.5,8.6,LOW
Kevlar,Hot Desert,2382.31,14.27,634.5,12744,11881,3.3,3.5,MEDIUM
Wool,Hot Desert,1089.59,10.01,532.8,6444,4136,2.5,5.4,MEDIUM
Cotton,Hot Desert,437.83,14.36,813.4,9346,5298,4.0,4.2,MEDIUM
Nylon,Jungle,865.5,36.04,2330.5,8020,9767,4.0,7.5,MEDIUM
Nylon,Jungle,467.86,15.65,639.4,7921,8591,4.2,9.4,MEDIUM
Cotton,Jungle,596.39,16.75,1275.6,16842,22941,2.0,3.6,MEDIUM
Bamboo Fibre,High Altitude,310.63,32.42,2459.8,16079,14390,3.2,1.0,MEDIUM
Wool,Cold Desert,851.0,18.02,1037.8,12365,16409,1.2,9.9,MEDIUM
Cotton,Hot Desert,421.45,15.7,927.5,5233,2255,3.8,8.0,MEDIUM
Bamboo Fibre,Cold Desert,455.97,19.46,1021.3,11157,11320,2.2,5.1,MEDIUM
Polyester,General Use,270.5,5.51,344.4,7739,6703,1.4,9.3,MEDIUM
Cotton,Cold Desert,365.62,12.02,427.3,8783,10716,2.9,6.4,MEDIUM
Kevlar,Jungle,3057.45,23.86,1718.2,9576,6573,4.3,6.1,HIGH
Nylon,Jungle,365.46,17.69,1399.1,13215,8292,3.0,5.4,MEDIUM
Wool,Coastal,904.75,7.02,268.2,13298,12053,1.1,5.6,MEDIUM
Cotton,Coastal,588.01,9.05,274.2,5506,7652,4.9,7.2,LOW
Nylon,High Altitude,602.78,37.6,2086.3,12349,19313,4.1,4.3,MEDIUM
Wool,High Altitude,831.01,38.0,1455.6,9927,4171,1.3,3.4,HIGH
Wool,Hot Desert,447.22,16.41,923.0,7739,4476,4.8,5.1,MEDIUM
Cotton,Coastal,226.71,12.45,794.4,5561,3293,3.8,3.8,MEDIUM
Kevlar,Hot Desert,2301.95,21.56,1336.4,11508,18165,3.9,7.1,MEDIUM
Wool,Jungle,804.33,31.81,1858.4,15586,13043,4.4,6.6,MEDIUM
Cotton,Cold Desert,353.8,23.66,1385.9,9771,9354,4.7,6.1,MEDIUM
Kevlar,Jungle,2878.54,38.91,1378.5,19175,9043,1.4,4.0,HIGH
Cotton,General Use,597.58,4.85,267.3,6389,4194,4.7,1.2,MEDIUM
Wool,General Use,563.51,9.98,668.3,8291,9227,3.1,6.5,LOW
Cotton,Hot Desert,344.64,12.46,771.3,9141,6900,2.6,6.9,MEDIUM
Bamboo Fibre,High Altitude,550.02,38.76,2116.8,12643,15553,2.5,2.7,MEDIUM
Nylon,High Altitude,323.17,44.44,1375.5,10800,10368,4.0,2.6,MEDIUM
